SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
Toowoomba	Toowoomba	$765,000	13.71	9	4.12	7.43	30.61	8.413597734	-27.62865959	152.1046159
Sunshine Coast Hinterland	Sunshine Coast	$1,190,000	12.22	8	3.46	12.82	52.41	12.44444444	-26.65511054	152.8651251
Ipswich Inner	Ipswich	$489,000	32.86	13	5.44	4.11	22.40	12.20367279	-27.6516548	152.781098
Ipswich Inner	Ipswich	$705,550	21.15	13	3.59	6.50	27.57	12.20367279	-27.6516548	152.781098
Innisfail - Cassowary Coast	Cairns	$395,000	7.27	12	6.10	5.62	40.52	5.884615385	-17.49300021	146.0751937
Port Douglas - Daintree	Cairns	$590,000	-5.36	6	6.14	7.23	44.35	3.766233766	-16.24047497	145.3596685
Buderim	Sunshine Coast	$970,000	16.75	6	3.86	11.84	54.07	12.51039883	-26.67695397	153.0113841
Ipswich Hinterland	Ipswich	$699,000	23.27	10	4.61	8.21	37.86	11.87096774	-27.58245294	152.3627928
Forest Lake - Oxley	Ipswich	$838,300	17.02	9	3.85	7.09	27.29	11.9123506	-27.6210236	152.9656234
Forest Lake - Oxley	Ipswich	$534,000	29.68	8	3.70	4.64	17.17	11.9123506	-27.6210236	152.9656234
Browns Plains	Logan - Beaudesert	$1,598,000	18.10	10	3.10	10.21	31.61	12.03539823	-27.66361453	153.0049859
Charters Towers - Ayr - Ingham	Townsville	$165,000	-5.50	12	4.91	5.34	26.23	1.75257732	-18.71612832	146.2764614
Charters Towers - Ayr - Ingham	Townsville	$420,000	14.00	13	8.53	4.35	43.85	1.75257732	-18.71612832	146.2764614
Brisbane Inner	Brisbane Inner City	$609,000	15.48	3	1.29	22.92	29.58	12.34201857	-27.45683748	153.0366025
Brisbane Inner	Brisbane Inner City	$505,000	15.41	6	6.32	4.92	31.11	12.34201857	-27.45683748	153.0366025
Charters Towers - Ayr - Ingham	Townsville	$310,000	14.00	13	6.26	2.37	14.86	1.75257732	-19.73400428	147.4026055
Granite Belt	Darling Downs - Maranoa	$460,000	16.50	7	3.83	5.58	21.36	7.777777778	-28.13213845	152.1415603
Rockhampton	Central Queensland	$325,000	14.24	11	5.60	3.33	18.62	5.85106383	-23.34427947	150.5467629
Rockhampton	Central Queensland	$547,050	21.28	8	5.08	5.11	30.71	5.85106383	-23.34427947	150.5467629
Cairns - North	Cairns	$799,000	7.46	8	5.13	6.10	36.96	6.744186047	-16.8832642	145.7131463
Cairns - North	Cairns	$394,800	11.57	10	6.47	3.57	23.10	6.744186047	-16.8832642	145.7131463
Mackay	Mackay - Isaac - Whitsunday	$496,000	18.48	16	5.78	3.58	20.67	3.523573201	-21.41664562	149.3015044
Burnett	Wide Bay	$495,000	11.76	7	4.86	9.59	55.13	6.52173913	-24.84750552	151.5794958
Springfield - Redbank	Ipswich	$510,000	29.14	12	4.98	6.70	33.35	11.17647059	-27.61434053	152.9101081
Springfield - Redbank	Ipswich	$625,950	17.07	9	3.88	8.78	40.32	11.17647059	-27.61434053	152.9101081
Townsville	Townsville	$295,000	24.07	13	6.59	4.51	29.70	4.861111111	-19.25580915	146.7702567
Townsville	Townsville	$475,000	26.03	11	4.99	7.36	43.44	4.861111111	-19.25580915	146.7702567
Mackay	Mackay - Isaac - Whitsunday	$565,000	18.48	16	5.69	5.02	33.82	3.523573201	-21.15704726	148.755649
Innisfail - Cassowary Coast	Cairns	$460,750	7.27	12	4.84	3.24	15.69	5.884615385	-17.45620147	146.0039114
Toowoomba	Toowoomba	$349,000	23.59	8	5.06	4.66	23.55	8.413597734	-27.5657131	152.2799245
Toowoomba	Toowoomba	$539,000	13.71	9	5.13	6.47	33.16	8.413597734	-27.5657131	152.2799245
Nerang	Gold Coast	$995,000	15.14	13	4.19	8.31	34.83	13.66666667	-27.95152039	153.3334479
Burnett	Wide Bay	$469,000	11.76	7	6.62	4.33	28.65	6.52173913	-25.62696336	151.6370022
The Gap - Enoggera	Brisbane - West	$685,000	22.71	8	4.39	6.24	27.40	10.68518519	-27.4162049	152.9834332
